updatedAt; title; locality; rent; url
"2024-04-20T05:53:50.249Z"; "3 BHK, Sri Tirumala Vintage"; "Electronic City"; 25000; "https://classifieds.mygate.com/listing/662358658b7c2e001d7159f0"
"2024-04-19T14:02:03.960Z"; "3 BHK, Sri Tirumala Vintage"; "Electronic City"; 28000; "https://classifieds.mygate.com/listing/61b438c155f94c00218523aa"
"2024-04-10T14:35:28.389Z"; "3 BHK, Sri Tirumala Vintage"; "Electronic City"; 33000; "https://classifieds.mygate.com/listing/6616a3a86d12b0001c23cf31"
"2024-04-02T06:11:13.534Z"; "3 BHK, Sri Tirumala Vintage"; "Electronic City"; 32500; "https://classifieds.mygate.com/listing/660add6e1703e4001d4dce20"
"2024-03-14T13:08:13.400Z"; "4 BHK, VRR Golden Enclave"; "Electronic City"; 160000; "https://classifieds.mygate.com/listing/65bef31c0f351d001c9d0fcd"
"2024-04-20T16:07:11.445Z"; "3 BHK, Vascon Venus"; "Electronic City"; 33000; "https://classifieds.mygate.com/listing/6623e827b0daae001b0db436"
"2024-04-22T06:59:40.880Z"; "2 BHK, Smondoville"; "Electronic City"; 28000; "https://classifieds.mygate.com/listing/66260ad458eaff001cc35efd"
"2024-04-17T09:41:50.822Z"; "3 BHK, Smondoville"; "Electronic City"; 45000; "https://classifieds.mygate.com/listing/638cb1215b5e81001cca634f"
"2024-04-15T10:44:28.257Z"; "2 BHK, Smondoville"; "Electronic City"; 27000; "https://classifieds.mygate.com/listing/64b8c8ac8dc97d001c9a5ec1"
"2024-04-11T09:24:36.679Z"; "3 BHK, Smondoville"; "Electronic City"; 37000; "https://classifieds.mygate.com/listing/63e8e8ff0a49cb001c360c05"
"2024-02-18T08:08:32.412Z"; "2 BHK, Smondoville"; "Electronic City"; 25000; "https://classifieds.mygate.com/listing/643168295b0320001c856174"
"2024-01-16T13:13:46.118Z"; "2 BHK, Smondoville"; "Electronic City"; 32000; "https://classifieds.mygate.com/listing/63de1d53a43732001c1bb88f"
"2023-11-28T02:47:33.702Z"; "2 BHK, Smondoville"; "Electronic City"; 28500; "https://classifieds.mygate.com/listing/656554c2bb619f001c692c99"
"2023-08-26T15:35:18.671Z"; "2 BHK, Smondoville"; "Electronic City"; 28000; "https://classifieds.mygate.com/listing/64ea1bac148f55001c38a233"
"2023-07-15T09:24:29.231Z"; "2 BHK, Smondoville"; "Electronic City"; 35000; "https://classifieds.mygate.com/listing/6241e6dae8d1d7001d8ab690"
"2024-04-21T08:47:59.165Z"; "3 BHK, Sobha Silicon Oasis"; "Hosur Road"; 75000; "https://classifieds.mygate.com/listing/6624d2bca418fa001c7ec42c"
"2024-04-14T21:51:31.936Z"; "3 BHK, Sobha Silicon Oasis"; "Hosur Road"; 50000; "https://classifieds.mygate.com/listing/66079e26d37ce5001c6b72f2"
"2024-04-12T12:24:38.586Z"; "2 BHK, Sobha Silicon Oasis"; "Hosur Road"; 50000; "https://classifieds.mygate.com/listing/66169a797c41c5001c227dca"
"2024-04-12T04:16:31.769Z"; "3 BHK, Sobha Silicon Oasis"; "Hosur Road"; 50000; "https://classifieds.mygate.com/listing/6618b438954835001c24915c"
"2024-03-24T16:54:22.043Z"; "3 BHK, Sobha Silicon Oasis"; "Hosur Road"; 55000; "https://classifieds.mygate.com/listing/66005988b643c5001d67b0ef"
"2023-12-11T23:17:05.469Z"; "2 BHK, Sobha Silicon Oasis"; "Hosur Road"; 50000; "https://classifieds.mygate.com/listing/65771e6539c483001c51bb3a"
"2023-12-09T23:00:10.579Z"; "3 BHK, Sobha Silicon Oasis"; "Hosur Road"; 54000; "https://classifieds.mygate.com/listing/6574f1722db5b3001c0f516f"
