rent, lastUpdated, url
"2","2023-09-21T15:02:04Z","https://housing.com/in/buy/projects/page/307237-sobha-neopolis-phase-2-w-12-and-13-by-sobha-limited-in-balagere"
"1","2023-10-06T11:23:03Z","https://housing.com/in/buy/projects/page/308161-casagrand-flamingo-by-casagrand-builder-private-limited-in-hsr-layout"
"1","2024-03-27T14:14:36.000Z","https://housing.com/in/buy/projects/page/311544-ag-yd-elite-by-ag-promoters-in-bellandur"
"1","2024-02-01T08:55:07.000Z","https://housing.com/in/buy/projects/page/312047-dnr-arista-phase-1-by-dnr-corporation-pvt-ltd-in-bellandur"
"4","2024-03-30T06:54:12.000Z","https://housing.com/in/buy/resale/page/7074679-5+-bhk-apartment-in-bellandur-for-rs-44531600"
"2","2024-04-03T06:11:05.000Z","https://housing.com/in/buy/resale/page/9645751-3-bhk-apartment-in-bellandur-for-rs-27000000"
"3","2024-02-28T06:47:41.000Z","https://housing.com/in/buy/resale/page/9842259-3-bhk-apartment-in-bellandur-for-rs-32000000"
"3","2024-02-24T08:48:31.000Z","https://housing.com/in/buy/resale/page/9842292-4-bhk-apartment-in-bellandur-for-rs-37000000"
"4","2024-02-24T08:48:49.000Z","https://housing.com/in/buy/resale/page/9842316-4-bhk-apartment-in-bellandur-for-rs-48000000"
"3","2024-02-24T08:45:42.000Z","https://housing.com/in/buy/resale/page/12951975-4-bhk-apartment-in-bellandur-for-rs-37000000"
"2","2024-04-03T19:32:27.000Z","https://housing.com/in/buy/resale/page/13105967-4-bhk-apartment-in-bellandur-for-rs-26960000"
"3","2024-04-05T19:32:17.000Z","https://housing.com/in/buy/resale/page/13343492-4-bhk-apartment-in-bellandur-for-rs-33000000"
"7","2024-02-27T19:34:30.000Z","https://housing.com/in/buy/resale/page/13436523-4-bhk-apartment-in-bellandur-for-rs-70000000"
"5","2024-02-27T19:34:30.000Z","https://housing.com/in/buy/resale/page/13436533-3-bhk-apartment-in-bellandur-for-rs-55000000"
"3","2024-04-05T17:21:55.000Z","https://housing.com/in/buy/resale/page/14175767-4-bhk-apartment-in-bellandur-for-rs-38500000"
"3","2024-04-05T16:47:11.000Z","https://housing.com/in/buy/resale/page/14175774-4-bhk-apartment-in-bellandur-for-rs-35500000"
"3","2024-03-31T18:43:38.000Z","https://housing.com/in/buy/resale/page/14176058-4-bhk-apartment-in-bellandur-for-rs-35500000"
"3","2024-04-05T17:32:51.000Z","https://housing.com/in/buy/resale/page/14176215-4-bhk-apartment-in-bellandur-for-rs-39500000"
"3","2024-04-05T17:42:44.000Z","https://housing.com/in/buy/resale/page/14176221-4-bhk-apartment-in-bellandur-for-rs-38000000"
"3","2024-04-05T17:06:25.000Z","https://housing.com/in/buy/resale/page/14184151-4-bhk-apartment-in-bellandur-for-rs-38000000"
"4","2024-04-05T17:21:21.000Z","https://housing.com/in/buy/resale/page/14184168-4-bhk-apartment-in-bellandur-for-rs-41200000"
"4","2024-04-05T17:00:38.000Z","https://housing.com/in/buy/resale/page/14194507-4-bhk-apartment-in-bellandur-for-rs-41200000"
"1","2024-04-03T11:01:22.000Z","https://housing.com/in/buy/resale/page/14197998-2-bhk-apartment-in-bellandur-for-rs-15700650"
"2","2024-04-03T11:08:49.000Z","https://housing.com/in/buy/resale/page/14198085-3-bhk-apartment-in-bellandur-for-rs-23409488"
"2","2024-04-03T10:55:16.000Z","https://housing.com/in/buy/resale/page/14198200-3-bhk-apartment-in-bellandur-for-rs-23066400"
"3","2024-04-03T11:17:21.000Z","https://housing.com/in/buy/resale/page/14198259-4-bhk-apartment-in-bellandur-for-rs-34021313"
